Past 7 days analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Past 7 days
Komboni,60706991,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"Hot,Radio Christian Voice,Komboni,Rock FM"
Kokoliko,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"Rise FM,Radio 1,Kokoliko"
Rise FM,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"Rise FM,Radio 1,Kokoliko"
Radio 1,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"Rise FM,Radio 1,Kokoliko"
Petauke Explorers,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,Petauke Explorers
Chimwemwe,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+,"Radio 2,Chimwemwe"
Radio 2,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+,"Radio 2,Chimwemwe"
Radio 1,60712007,Copperbelt,Mufulira,Urban,Male,1,None,C1,Don’t know (DON’T READ),Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"Radio 1,BBC"
BBC,60712007,Copperbelt,Mufulira,Urban,Male,1,None,C1,Don’t know (DON’T READ),Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"Radio 1,BBC"
Rise FM,60712974,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,Rise FM
Kokoliko,60712975,Copperbelt,Chingola,Urban,Female,1,None,C1,Primary school completed,Other Christian,Housewife,C2,Under K 849,Yes,19 – 24,Kokoliko
Rise FM,60712976,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,No Income,Under K 849,Yes,25 – 34,"Rise FM,Kokoliko,Iwave"
Iwave,60712976,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,No Income,Under K 849,Yes,25 – 34,"Rise FM,Kokoliko,Iwave"
Kokoliko,60712976,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,No Income,Under K 849,Yes,25 – 34,"Rise FM,Kokoliko,Iwave"
Iwave,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"Yar,Kokoliko,Iwave"
Yar,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"Yar,Kokoliko,Iwave"
Kokoliko,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"Yar,Kokoliko,Iwave"
Rise FM,60712980,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"Rise FM,Icengelo,Kokoliko"
Icengelo,60712980,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"Rise FM,Icengelo,Kokoliko"
Kokoliko,60712980,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"Rise FM,Icengelo,Kokoliko"
Icengelo,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,Icengelo
Yar,60713031,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Anglican/Protestant,Student,C1,"K 1675- K2,499",Yes,19 – 24,"Icengelo,Yar"
Icengelo,60713031,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Anglican/Protestant,Student,C1,"K 1675- K2,499",Yes,19 – 24,"Icengelo,Yar"
Icengelo,60713032,Copperbelt,Kitwe,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,Icengelo
Radio 2,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,Radio 2
Radio 1,60713276,Central,Chibombo,Urban,Female,2,None,C1,Primary school completed,Anglican/Protestant,Working Full-Time,C1,"K 1675- K2,499",Yes,25 – 34,Radio 1
Hot,60713732,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,"K 1675- K2,499",Yes,35 – 44,"Hot,Q FM,Unza"
Unza,60713732,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,"K 1675- K2,499",Yes,35 – 44,"Hot,Q FM,Unza"
QFM,60713732,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,"K 1675- K2,499",Yes,35 – 44,"Hot,Q FM,Unza"
Radio 1,60713733,Lusaka,Lusaka district,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"Phoenix,Radio 1,Millennium,Joy"
Joy,60713733,Lusaka,Lusaka district,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"Phoenix,Radio 1,Millennium,Joy"
Phoenix,60713733,Lusaka,Lusaka district,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"Phoenix,Radio 1,Millennium,Joy"
Millennium,60713733,Lusaka,Lusaka district,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"Phoenix,Radio 1,Millennium,Joy"
Radio Christian Voice,60713734,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"Radio Christian Voice,Komboni,Unza"
Unza,60713734,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"Radio Christian Voice,Komboni,Unza"
Komboni,60713734,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"Radio Christian Voice,Komboni,Unza"
Icengelo,60713895,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,Icengelo
Radio 1,60713934,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",No,19 – 24,"Petauke Explorers,Radio 1,Breeze"
Petauke Explorers,60713934,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",No,19 – 24,"Petauke Explorers,Radio 1,Breeze"
Breeze,60713934,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",No,19 – 24,"Petauke Explorers,Radio 1,Breeze"
Chimwemwe,60714232,Copperbelt,Ndola,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,Chimwemwe
Rise FM,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"Rise FM,Icengelo,Iwave"
Iwave,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"Rise FM,Icengelo,Iwave"
Icengelo,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"Rise FM,Icengelo,Iwave"
Komboni,60715414,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,Komboni
Phoenix,60716559,Central,Chibombo,Urban,Female,1,Two or More,C1,Some high school,Roman Catholic,Student,AB,Under K 849,Yes,19 – 24,Phoenix
Radio 4,60716616,Copperbelt,Mufulira,Urban,Male,0,None,C1,Any other post-high school qualification,Other Christian,Student,Do not know,No Income,Yes,25 – 34,Radio 4
KNC,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,KNC
Radio 1,60720619,North-Western,Solwezi,Rural,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"Radio 1,FCC Solwezi"
FCC Solwezi,60720619,North-Western,Solwezi,Rural,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"Radio 1,FCC Solwezi"
Radio Christian Voice,60720620,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",No,25 – 34,"Radio 4,Radio Christian Voice,Kabangabanga,New Generation,FCC Solwezi"
New Generation,60720620,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",No,25 – 34,"Radio 4,Radio Christian Voice,Kabangabanga,New Generation,FCC Solwezi"
FCC Solwezi,60720620,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",No,25 – 34,"Radio 4,Radio Christian Voice,Kabangabanga,New Generation,FCC Solwezi"
Radio 4,60720620,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",No,25 – 34,"Radio 4,Radio Christian Voice,Kabangabanga,New Generation,FCC Solwezi"
Kabangabanga,60720620,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",No,25 – 34,"Radio 4,Radio Christian Voice,Kabangabanga,New Generation,FCC Solwezi"
Hot,60724804,Lusaka,Lusaka district,Urban,Male,1,One,C1,Some university,Seventh Day Adventists,Student,No Income,Do not know,Yes,19 – 24,Hot
Hot,60724805,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some university,Other Christian,Student,Do not know,K 850-K 1674,Yes,19 – 24,Hot
Radio 1,60724806,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"Radio 1,Komboni"
Komboni,60724806,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"Radio 1,Komboni"
Radio Christian Voice,60727076,Southern,Livingstone,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,Radio Christian Voice
SKY,60727080,Southern,Livingstone,Urban,Male,1,One,C1,Some university,Other Christian,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"SKY,Mosi-0-Tunya,Falls,Zambezi"
Falls,60727080,Southern,Livingstone,Urban,Male,1,One,C1,Some university,Other Christian,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"SKY,Mosi-0-Tunya,Falls,Zambezi"
Zambezi,60727080,Southern,Livingstone,Urban,Male,1,One,C1,Some university,Other Christian,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"SKY,Mosi-0-Tunya,Falls,Zambezi"
Mosi-0-Tunya,60727080,Southern,Livingstone,Urban,Male,1,One,C1,Some university,Other Christian,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"SKY,Mosi-0-Tunya,Falls,Zambezi"
Komboni,60730747,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Self employed,C2,K 850-K 1674,Yes,25 – 34,Komboni
Radio 1,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,"PASME,Petauke Explorers,Radio 1,Breeze"
PASME,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,"PASME,Petauke Explorers,Radio 1,Breeze"
Petauke Explorers,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,"PASME,Petauke Explorers,Radio 1,Breeze"
Breeze,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,"PASME,Petauke Explorers,Radio 1,Breeze"
Petauke Explorers,60736739,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C2,Under K 849,Yes,19 – 24,"Maria,PASME,Petauke Explorers,Radio 1,Breeze"
Radio 1,60736739,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C2,Under K 849,Yes,19 – 24,"Maria,PASME,Petauke Explorers,Radio 1,Breeze"
Maria,60736739,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C2,Under K 849,Yes,19 – 24,"Maria,PASME,Petauke Explorers,Radio 1,Breeze"
Breeze,60736739,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C2,Under K 849,Yes,19 – 24,"Maria,PASME,Petauke Explorers,Radio 1,Breeze"
PASME,60736739,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C2,Under K 849,Yes,19 – 24,"Maria,PASME,Petauke Explorers,Radio 1,Breeze"
Icengelo,60740668,Copperbelt,Mufulira,Rural,Male,1,None,C1,Some high school,Other Christian,Student,Do not know,No Income,Yes,19 – 24,Icengelo
Feel Free,60741340,Eastern,Chipata,Rural,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,D,"K 2,500   -  K 3,154",Yes,25 – 34,"Maria,Radio 1,Breeze,Feel Free"
Radio 1,60741340,Eastern,Chipata,Rural,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,D,"K 2,500   -  K 3,154",Yes,25 – 34,"Maria,Radio 1,Breeze,Feel Free"
Breeze,60741340,Eastern,Chipata,Rural,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,D,"K 2,500   -  K 3,154",Yes,25 – 34,"Maria,Radio 1,Breeze,Feel Free"
Maria,60741340,Eastern,Chipata,Rural,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,D,"K 2,500   -  K 3,154",Yes,25 – 34,"Maria,Radio 1,Breeze,Feel Free"
ZNBC 1,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,"ZNBC MUSIC,Icengelo,Radio 1"
Radio 1,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,"ZNBC MUSIC,Icengelo,Radio 1"
Icengelo,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,"ZNBC MUSIC,Icengelo,Radio 1"
Chimwemwe,60742566,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Student,D,"K 1675- K2,499",Yes,25 – 34,"Phoenix,Chimwemwe"
Phoenix,60742566,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Student,D,"K 1675- K2,499",Yes,25 – 34,"Phoenix,Chimwemwe"
Icengelo,60742572,Copperbelt,Luanshya,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Student,D,K 850-K 1674,Yes,19 – 24,Icengelo
Yar,60743161,Copperbelt,Kalulushi,Rural,Male,1,One,C1,Don’t know (DON’T READ),Other Christian,Self employed,C2,"K 3,891  -  K 4,627",Yes,25 – 34,Yar
Radio 1,60743325,Copperbelt,Kitwe,Rural,Female,3,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,"K 2,500   -  K 3,154",Yes,35 – 44,Radio 1
Radio Christian Voice,60743764,Copperbelt,Mufulira,Rural,Female,1,None,C1,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"Icengelo,Radio Christian Voice"
Icengelo,60743764,Copperbelt,Mufulira,Rural,Female,1,None,C1,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"Icengelo,Radio Christian Voice"
Flava FM,60743838,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Others,Student,C2,"K 2,500   -  K 3,154",Yes,15 – 18,Flava FM
Yar,60743840,Copperbelt,Kitwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,Do not know,"K 5,365  -  K 6,102",Yes,25 – 34,"Icengelo,Yar"
Icengelo,60743840,Copperbelt,Kitwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,Do not know,"K 5,365  -  K 6,102",Yes,25 – 34,"Icengelo,Yar"
Icengelo,60745322,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,No Income,No Income,Yes,35 – 44,Icengelo
Rise FM,60745446,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Others,Unemployed [NOT SEEKING A JOB],D,"K 1675- K2,499",Yes,19 – 24,"Rise FM,Jive"
Jive,60745446,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Others,Unemployed [NOT SEEKING A JOB],D,"K 1675- K2,499",Yes,19 – 24,"Rise FM,Jive"
Icengelo,60745447,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,Icengelo
Chimwemwe,60745450,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,45+,"Phoenix,Chimwemwe"
Phoenix,60745450,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,45+,"Phoenix,Chimwemwe"
Icengelo,60745451,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Others,Housewife,D,K 850-K 1674,Yes,25 – 34,Icengelo
Phoenix,60745882,Central,Chibombo,Urban,Female,1,One,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,19 – 24,Phoenix
Yar,60747296,Copperbelt,Kitwe,Rural,Male,1,One,C1,Completed high School,Others,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,"Icengelo,Yar"
Icengelo,60747296,Copperbelt,Kitwe,Rural,Male,1,One,C1,Completed high School,Others,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,"Icengelo,Yar"
Parliament,60748701,Southern,Mazabuka,Rural,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"Radio 4,Radio 1,Mazabuka,Radio 2,BBC,Parliament"
Mazabuka,60748701,Southern,Mazabuka,Rural,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"Radio 4,Radio 1,Mazabuka,Radio 2,BBC,Parliament"
Radio 1,60748701,Southern,Mazabuka,Rural,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"Radio 4,Radio 1,Mazabuka,Radio 2,BBC,Parliament"
Radio 2,60748701,Southern,Mazabuka,Rural,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"Radio 4,Radio 1,Mazabuka,Radio 2,BBC,Parliament"
Radio 4,60748701,Southern,Mazabuka,Rural,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"Radio 4,Radio 1,Mazabuka,Radio 2,BBC,Parliament"
BBC,60748701,Southern,Mazabuka,Rural,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"Radio 4,Radio 1,Mazabuka,Radio 2,BBC,Parliament"
Icengelo,60748992,Copperbelt,Mufulira,Rural,Male,2,None,C1,Don’t know (DON’T READ),Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"Icengelo,Kokoliko"
Kokoliko,60748992,Copperbelt,Mufulira,Rural,Male,2,None,C1,Don’t know (DON’T READ),Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"Icengelo,Kokoliko"
Radio 1,60749180,Copperbelt,Mufulira,Rural,Male,0,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],Do not know,Do not know,No,19 – 24,"Icengelo,Radio 1"
Icengelo,60749180,Copperbelt,Mufulira,Rural,Male,0,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],Do not know,Do not know,No,19 – 24,"Icengelo,Radio 1"
Yar,60749457,Copperbelt,Kitwe,Urban,Male,1,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"Icengelo,Yar"
Icengelo,60749457,Copperbelt,Kitwe,Urban,Male,1,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"Icengelo,Yar"
Radio Christian Voice,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,"Radio Christian Voice,Jive,Chimwemwe"
Chimwemwe,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,"Radio Christian Voice,Jive,Chimwemwe"
Jive,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,"Radio Christian Voice,Jive,Chimwemwe"
