Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Total Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
Maria,82290982,,,"Radio 2,Breeze,Feel Free,Maria Q FM","Radio 2,Breeze,Feel Free,Maria Q FM","Q FM,Radio 2,Breeze,Feel Free,Maria","Q FM,Breeze","Radio 2,Feel Free,Maria", , 
Breeze,82290983,,,"Radio 1,Breeze,Feel Free Radio 2","Radio 1,Breeze,Feel Free Radio 2","Radio 1,Breeze,", ,"Radio 1,Breeze", , 
Radio 1,82290983,,,"Radio 1,Breeze,Feel Free Radio 2","Radio 1,Breeze,Feel Free Radio 2","Radio 1,Breeze,", ,"Radio 1,Breeze", , 
Radio 4,82291924,,,"Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice Yar","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice Yar","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar,",Icengelo,"Radio 1,Radio 2,Radio 4,Radio Christian Voice",Flava FM,"Phoenix,Yar"
Radio Christian Voice,82291924,,,"Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice Yar","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice Yar","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar,",Icengelo,"Radio 1,Radio 2,Radio 4,Radio Christian Voice",Flava FM,"Phoenix,Yar"
Radio 2,82291924,,,"Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice Yar","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice Yar","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar,",Icengelo,"Radio 1,Radio 2,Radio 4,Radio Christian Voice",Flava FM,"Phoenix,Yar"
Radio 1,82291924,,,"Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice Yar","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice Yar","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar,",Icengelo,"Radio 1,Radio 2,Radio 4,Radio Christian Voice",Flava FM,"Phoenix,Yar"
Radio 1,82291925,,,"Baptist Faith,Flava FM,Icengelo,Phoenix Radio 1,Radio 4,Radio Christian Voice,Yar","Baptist Faith,Flava FM,Icengelo,Phoenix Radio 1,Radio 4,Radio Christian Voice,Yar","Baptist Faith,Icengelo,Radio 1,Radio 4,Yar","Baptist Faith,Icengelo,Radio 4,Yar",Radio 1, , 
Icengelo,82291926,,,"Flava FM,Icengelo,Radio 1,Radio 4 Phoenix,Radio 2,Radio Christian Voice,Yar","Flava FM,Icengelo,Radio 1,Radio 4 Phoenix,Radio 2,Radio Christian Voice,Yar","Flava FM,Icengelo,Radio 1",Radio 1,Icengelo,Flava FM, 
Icengelo,82291928,,,"Icengelo,Radio 1 Radio 2,Radio 4,Radio Christian Voice","Icengelo,Radio 1 Radio 2,Radio 4,Radio Christian Voice","Icengelo,Radio 1,", ,"Icengelo,Radio 1", , 
Radio 1,82291928,,,"Icengelo,Radio 1 Radio 2,Radio 4,Radio Christian Voice","Icengelo,Radio 1 Radio 2,Radio 4,Radio Christian Voice","Icengelo,Radio 1,", ,"Icengelo,Radio 1", , 
Icengelo,82292843,,,"Icengelo,Radio 1 BBC,Chimwemwe,Flava FM,Phoenix,Radio 2,Radio 4","Icengelo,Radio 1 BBC,Chimwemwe,Flava FM,Phoenix,Radio 2,Radio 4",Icengelo, ,Icengelo, , 
Radio 1,82294906,,,"Radio 1 FCC Solwezi,Kabangabanga","Radio 1 FCC Solwezi,Kabangabanga","Radio 1,FCC Solwezi,Kabangabanga", ,Radio 1,"FCC Solwezi,Kabangabanga", 
Radio 2,82308330,,,"Radio 1,FCC Solwezi,Kabangabanga Radio 2","Radio 1,FCC Solwezi,Kabangabanga Radio 2","Radio 1,Radio 2,FCC Solwezi,Kabangabanga,","FCC Solwezi,Kabangabanga","Radio 1,Radio 2", , 
Radio 1,82308330,,,"Radio 1,FCC Solwezi,Kabangabanga Radio 2","Radio 1,FCC Solwezi,Kabangabanga Radio 2","Radio 1,Radio 2,FCC Solwezi,Kabangabanga,","FCC Solwezi,Kabangabanga","Radio 1,Radio 2", , 
Radio 1,82358889,,,"Radio 1,Radio 2,Beats,FCC Solwezi,Kabangabanga Radio Christian Voice","Radio 1,Radio 2,Beats,FCC Solwezi,Kabangabanga Radio Christian Voice","Radio 1,Radio 2,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga,", ,Radio 1,"Radio 2,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga", 
Radio 2,82358890,,,"Parliament,Radio 1,Radio 2,Radio 4,FCC Solwezi Radio Christian Voice,Beats,Kabangabanga","Parliament,Radio 1,Radio 2,Radio 4,FCC Solwezi Radio Christian Voice,Beats,Kabangabanga","Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga,", ,"Radio 1,Radio 2","Parliament,Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga", 
Radio 1,82358890,,,"Parliament,Radio 1,Radio 2,Radio 4,FCC Solwezi Radio Christian Voice,Beats,Kabangabanga","Parliament,Radio 1,Radio 2,Radio 4,FCC Solwezi Radio Christian Voice,Beats,Kabangabanga","Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga,", ,"Radio 1,Radio 2","Parliament,Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga", 
Chimwemwe,82360812,,,"Chimwemwe,Icengelo, ","Chimwemwe,Icengelo, ",Chimwemwe, ,Chimwemwe, , 
Radio 2,82362069,,,"Radio 1,Radio 2,Radio 4,Radio Christian Voice,FCC Solwezi,Kabangabanga Beats","Radio 1,Radio 2,Radio 4,Radio Christian Voice,FCC Solwezi,Kabangabanga Beats","Radio 1,Radio 2,Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga", ,"Radio 1,Radio 2","Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga", 
Radio 1,82362069,,,"Radio 1,Radio 2,Radio 4,Radio Christian Voice,FCC Solwezi,Kabangabanga Beats","Radio 1,Radio 2,Radio 4,Radio Christian Voice,FCC Solwezi,Kabangabanga Beats","Radio 1,Radio 2,Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga", ,"Radio 1,Radio 2","Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga", 
Yar,82363576,,,"BBC,Flava FM,Icengelo,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar ","BBC,Flava FM,Icengelo,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar ","Icengelo,Radio 1,Radio 4,Yar,", ,"Radio 1,Yar","Icengelo,Radio 4", 
Radio 1,82363576,,,"BBC,Flava FM,Icengelo,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar ","BBC,Flava FM,Icengelo,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar ","Icengelo,Radio 1,Radio 4,Yar,", ,"Radio 1,Yar","Icengelo,Radio 4", 
Mosi-O-Tunya,82364581,,,"Zambezi BBC,Radio Christian Voice,Falls,Mosi-0-Tunya,SKY","Zambezi BBC,Radio Christian Voice,Falls,Mosi-0-Tunya,SKY","Radio Christian Voice,Falls,Mosi-0-Tunya,Zambezi,", ,"Radio Christian Voice,Mosi--Tunya",Falls, 
Radio Christian Voice,82364581,,,"Zambezi BBC,Radio Christian Voice,Falls,Mosi-0-Tunya,SKY","Zambezi BBC,Radio Christian Voice,Falls,Mosi-0-Tunya,SKY","Radio Christian Voice,Falls,Mosi-0-Tunya,Zambezi,", ,"Radio Christian Voice,Mosi--Tunya",Falls, 
Icengelo,82366369,,,"Baptist Faith,Icengelo,Q FM,Radio 1,Radio 2,Radio 4 BBC,Parliament,Radio Christian Voice","Baptist Faith,Icengelo,Q FM,Radio 1,Radio 2,Radio 4 BBC,Parliament,Radio Christian Voice","Icengelo,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Radio 1,Radio 2,Radio 4",Icengelo,"Parliament,Radio Christian Voice", 
Radio 2,82366370,,,"Flava FM,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice Baptist Faith,BBC,Parliament","Flava FM,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice Baptist Faith,BBC,Parliament","Flava FM,Icengelo,Radio 1,Radio 2,","Flava FM,Icengelo,Radio 1",Radio 2, , 
Zambezi,82367016,,,"Radio Christian Voice,Falls,Mosi-0-Tunya,Zambezi Radio 2,Radio 4","Radio Christian Voice,Falls,Mosi-0-Tunya,Zambezi Radio 2,Radio 4","Radio 2,Radio 4,Radio Christian Voice,Falls,Mosi-0-Tunya,Zambezi,",Mosi-0-Tunya,"Falls,Zambezi","Radio 2,Radio 4,Radio Christian Voice", 
Falls,82367016,,,"Radio Christian Voice,Falls,Mosi-0-Tunya,Zambezi Radio 2,Radio 4","Radio Christian Voice,Falls,Mosi-0-Tunya,Zambezi Radio 2,Radio 4","Radio 2,Radio 4,Radio Christian Voice,Falls,Mosi-0-Tunya,Zambezi,",Mosi-0-Tunya,"Falls,Zambezi","Radio 2,Radio 4,Radio Christian Voice", 
Radio 1,82367947,,,"Radio 1,Radio 4,Mosi-0-Tunya Parliament,Q FM,Radio 2,Radio Christian Voice,Chikuni,Falls,Q FM,SKY,Sun FMFM, FM,Zambezi","Radio 1,Radio 4,Mosi-0-Tunya Parliament,Q FM,Radio 2,Radio Christian Voice,Chikuni,Falls,Q FM,SKY,Sun FMFM, FM,Zambezi","Radio 1,Mosi-0-Tunya,Zambezi", ,Radio 1,Mosi-0-Tunya, 
Radio 1,82369480,,,"Flava FM,Icengelo,Radio 1,Radio 2 Baptist Faith,BBC,Parliament,Radio 4,Radio Christian Voice","Flava FM,Icengelo,Radio 1,Radio 2 Baptist Faith,BBC,Parliament,Radio 4,Radio Christian Voice","Flava FM,Icengelo,Radio 1","Flava FM,Icengelo",Radio 1, , 
Feel Free,82369700,,,"Radio 1,Breeze,Feel Free,Maria Radio 2","Radio 1,Breeze,Feel Free,Maria Radio 2","Breeze,Feel Free,Maria", ,"Breeze,Feel Free,Maria", , 
Breeze,82369700,,,"Radio 1,Breeze,Feel Free,Maria Radio 2","Radio 1,Breeze,Feel Free,Maria Radio 2","Breeze,Feel Free,Maria", ,"Breeze,Feel Free,Maria", , 
Maria,82369700,,,"Radio 1,Breeze,Feel Free,Maria Radio 2","Radio 1,Breeze,Feel Free,Maria Radio 2","Breeze,Feel Free,Maria", ,"Breeze,Feel Free,Maria", , 
Feel Free,82369701,,,"Radio 1,Radio 2,Breeze,Feel Free,Maria Parliament","Radio 1,Radio 2,Breeze,Feel Free,Maria Parliament","Breeze,Feel Free,",Breeze,Feel Free, , 
Kabangabanga,82370971,,,"Radio 1,Radio 2,Radio 4,Radio Christian Voice,Beats,FCC Solwezi Kabangabanga","Radio 1,Radio 2,Radio 4,Radio Christian Voice,Beats,FCC Solwezi Kabangabanga","Radio 1,Radio 2,Radio 4,FCC Solwezi,Kabangabanga", ,Kabangabanga,"Radio 1,Radio 2,Radio 4,FCC Solwezi", 
Radio 2,82372511,,,"Baptist Faith,Flava FM,Icengelo,Radio 1,Radio 2,Radio 4 BBC,Radio Christian Voice","Baptist Faith,Flava FM,Icengelo,Radio 1,Radio 2,Radio 4 BBC,Radio Christian Voice","Flava FM,Icengelo,Radio 1,Radio 2,",Icengelo,"Flava FM,Radio 1,Radio 2", , 
Flava FM,82372511,,,"Baptist Faith,Flava FM,Icengelo,Radio 1,Radio 2,Radio 4 BBC,Radio Christian Voice","Baptist Faith,Flava FM,Icengelo,Radio 1,Radio 2,Radio 4 BBC,Radio Christian Voice","Flava FM,Icengelo,Radio 1,Radio 2,",Icengelo,"Flava FM,Radio 1,Radio 2", , 
Radio 1,82372511,,,"Baptist Faith,Flava FM,Icengelo,Radio 1,Radio 2,Radio 4 BBC,Radio Christian Voice","Baptist Faith,Flava FM,Icengelo,Radio 1,Radio 2,Radio 4 BBC,Radio Christian Voice","Flava FM,Icengelo,Radio 1,Radio 2,",Icengelo,"Flava FM,Radio 1,Radio 2", , 
Radio Christian Voice,82372814,,,"Radio 1,Radio 2,Radio 4,Radio Christian Voice,FCC Solwezi,Kabangabanga Beats","Radio 1,Radio 2,Radio 4,Radio Christian Voice,FCC Solwezi,Kabangabanga Beats","Radio 1,Radio 2,Radio Christian Voice,FCC Solwezi,", ,Radio Christian Voice,"Radio 1,Radio 2,FCC Solwezi", 
Breeze,82372897,,,"Parliament,Q FM,Radio 1,Radio 2,Breeze,Feel Free,Maria BBC,Radio 4,Radio Christian Voice,Chikaya,Mphangwe","Parliament,Q FM,Radio 1,Radio 2,Breeze,Feel Free,Maria BBC,Radio 4,Radio Christian Voice,Chikaya,Mphangwe","Radio 2,Breeze,", ,Breeze,Radio 2, 
Yar,82378692,,,"Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar don’t know","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar don’t know","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar,", ,"Flava FM,Radio 1,Yar",Icengelo,"Phoenix,Radio 2,Radio 4,Radio Christian Voice"
Flava FM,82378692,,,"Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar don’t know","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar don’t know","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar,", ,"Flava FM,Radio 1,Yar",Icengelo,"Phoenix,Radio 2,Radio 4,Radio Christian Voice"
Radio 1,82378692,,,"Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar don’t know","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar don’t know","Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar,", ,"Flava FM,Radio 1,Yar",Icengelo,"Phoenix,Radio 2,Radio 4,Radio Christian Voice"
Icengelo,82378693,,,"Baptist Faith,Flava FM,Icengelo,Phoenix,Q FM,Radio 1,Radio 4,Radio Christian Voice Radio 2,Yar","Baptist Faith,Flava FM,Icengelo,Phoenix,Q FM,Radio 1,Radio 4,Radio Christian Voice Radio 2,Yar","Icengelo,Radio 1,Yar","Radio 1,Yar",Icengelo, , 
Icengelo,82378695,,,"Flava FM,Icengelo,Radio 1 Phoenix,Q FM,Radio 2,Radio 4,Radio Christian Voice","Flava FM,Icengelo,Radio 1 Phoenix,Q FM,Radio 2,Radio 4,Radio Christian Voice","Icengelo,Radio 1,",Radio 1,Icengelo, , 
Radio 1,82379652,,,"BBC,Flava FM,Icengelo,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Sun FMFM, ","BBC,Flava FM,Icengelo,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Sun FMFM, ","Icengelo,Radio 1,Radio 2","Icengelo,Radio 2",Radio 1, , 
FCC Solwezi,82380260,,,"Radio 1,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga Radio 2,Radio 4","Radio 1,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga Radio 2,Radio 4","Radio 1,Radio 2,Radio 4,Radio Christian Voice,Beats,FCC Solwezi,Kabangabanga", ,FCC Solwezi,"Radio 1,Radio 2,Radio 4,Radio Christian Voice,Beats,Kabangabanga", 
Maria,82382459,,,"Breeze,Feel Free,Maria BBC,Q FM","Breeze,Feel Free,Maria BBC,Q FM","Breeze,Maria,",Breeze,Maria, , 
Icengelo,82383570,,,"Icengelo,Radio 1 Radio 2,Radio 4,Radio Christian Voice","Icengelo,Radio 1 Radio 2,Radio 4,Radio Christian Voice","Icengelo,Radio 1,",Radio 1,Icengelo, , 
Radio 1,82388375,,,"Radio 1 FCC Solwezi,Kabangabanga","Radio 1 FCC Solwezi,Kabangabanga","Radio 1,FCC Solwezi,Kabangabanga", ,Radio 1,"FCC Solwezi,Kabangabanga", 
Icengelo,82449548,,,"Chimwemwe,Icengelo, ","Chimwemwe,Icengelo, ","Chimwemwe,Icengelo,",Chimwemwe,Icengelo, , 
Phoenix,82452100,,,"Chimwemwe,Phoenix,Sun FMFM, ","Chimwemwe,Phoenix,Sun FMFM, ","Chimwemwe,Phoenix,Sun FM",Chimwemwe,Phoenix,Sun FM, 
Breeze,82454773,,,"Breeze,Feel Free,Maria Q FM","Breeze,Feel Free,Maria Q FM",Breeze, ,Breeze, , 
Feel Free,82454774,,,"Breeze,Feel Free Q FM,Maria","Breeze,Feel Free Q FM,Maria","Breeze,Feel Free,", ,"Breeze,Feel Free", , 
Breeze,82454774,,,"Breeze,Feel Free Q FM,Maria","Breeze,Feel Free Q FM,Maria","Breeze,Feel Free,", ,"Breeze,Feel Free", , 
Radio Christian Voice,82456738,,,"Baptist Faith,BBC,Chimwemwe,Flava FM,Icengelo,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Rise FM,Sun FMFM,Yar ","Baptist Faith,BBC,Chimwemwe,Flava FM,Icengelo,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Rise FM,Sun FMFM,Yar ","Flava FM,Icengelo,Radio 1,Radio 4,Radio Christian Voice","Icengelo,Radio 1",Radio Christian Voice,"Flava FM,Radio 4", 
Icengelo,82458417,,,"Flava FM,Icengelo,Radio Christian Voice Radio 1","Flava FM,Icengelo,Radio Christian Voice Radio 1","Flava FM,Icengelo,Radio 1,Radio Christian Voice,",Radio Christian Voice,Icengelo,"Flava FM,Radio 1", 
Maria,82459432,,,"Breeze,Feel Free,Maria Q FM","Breeze,Feel Free,Maria Q FM","Breeze,Maria,", ,Maria,Breeze, 
Icengelo,82459984,,,"Baptist Faith,BBC,Chimwemwe,Flava FM,Icengelo,Kokoliko,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FMFM,Yar ","Baptist Faith,BBC,Chimwemwe,Flava FM,Icengelo,Kokoliko,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FMFM,Yar ","Icengelo,Radio 1,Radio 4",Radio 4,"Icengelo,Radio 1", , 
Radio 1,82459984,,,"Baptist Faith,BBC,Chimwemwe,Flava FM,Icengelo,Kokoliko,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FMFM,Yar ","Baptist Faith,BBC,Chimwemwe,Flava FM,Icengelo,Kokoliko,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FMFM,Yar ","Icengelo,Radio 1,Radio 4",Radio 4,"Icengelo,Radio 1", , 
Chimwemwe,82460105,,,"Chimwemwe,Icengelo, Sun FMFM,","Chimwemwe,Icengelo, Sun FMFM,","Chimwemwe,Icengelo,Sun FM", ,Chimwemwe,"Icengelo,Sun FM", 
Phoenix,82462232,,,"Chimwemwe, Phoenix,Sun FMFM,","Chimwemwe, Phoenix,Sun FMFM,","Chimwemwe,Phoenix,Sun FM",Chimwemwe,"Phoenix,Sun FM", , 
Sun FM,82462232,,,"Chimwemwe, Phoenix,Sun FMFM,","Chimwemwe, Phoenix,Sun FMFM,","Chimwemwe,Phoenix,Sun FM",Chimwemwe,"Phoenix,Sun FM", , 
Flava FM,82470053,,,Flava FM ,Flava FM ,Flava FM, ,Flava FM, , 
Radio 4,82470055,,,"Radio 4,Radio Christian Voice ","Radio 4,Radio Christian Voice ","Radio 4,Radio Christian Voice,",Radio Christian Voice,Radio 4, , 
Chimwemwe,82470056,,,"Chimwemwe,Phoenix ","Chimwemwe,Phoenix ","Chimwemwe,Phoenix,",Phoenix,Chimwemwe, , 
Sun FM,82498314,,,"Phoenix,Sun FMFM, Icengelo,","Phoenix,Sun FMFM, Icengelo,","Icengelo,Phoenix,Sun FM","Icengelo,Phoenix",Sun FM, , 
Jive,82532621,,,"Jive,Sun FMFM, Icengelo,","Jive,Sun FMFM, Icengelo,","Icengelo,Jive,Sun FM",Sun FM,Jive,Icengelo, 
Chimwemwe,82534515,,,"Chimwemwe,Icengelo, Sun FMFM,","Chimwemwe,Icengelo, Sun FMFM,","Chimwemwe,Icengelo,Sun FM", ,"Chimwemwe,Sun FM",Icengelo, 
Sun FM,82534515,,,"Chimwemwe,Icengelo, Sun FMFM,","Chimwemwe,Icengelo, Sun FMFM,","Chimwemwe,Icengelo,Sun FM", ,"Chimwemwe,Sun FM",Icengelo, 
Radio Christian Voice,82536066,,,"Chimwemwe,Icengelo,Sun FMFM, Radio Christian Voice","Chimwemwe,Icengelo,Sun FMFM, Radio Christian Voice","Radio Christian Voice,Sun FM,",Sun FM,Radio Christian Voice, , 
Chimwemwe,82541841,,,"Chimwemwe,Icengelo, Sun FMFM,","Chimwemwe,Icengelo, Sun FMFM,","Chimwemwe,Icengelo,Sun FM", ,"Chimwemwe,Icengelo",Sun FM, 
Icengelo,82541841,,,"Chimwemwe,Icengelo, Sun FMFM,","Chimwemwe,Icengelo, Sun FMFM,","Chimwemwe,Icengelo,Sun FM", ,"Chimwemwe,Icengelo",Sun FM, 
Chimwemwe,82543554,,,"Chimwemwe, Sun FMFM,","Chimwemwe, Sun FMFM,","Chimwemwe,Sun FM,", ,Chimwemwe, ,Sun FM
Chimwemwe,82546841,,," Chimwemwe,"," Chimwemwe,",Chimwemwe, ,Chimwemwe, , 
Chimwemwe,82549151,,,"Chimwemwe, Sun FMFM,","Chimwemwe, Sun FMFM,","Chimwemwe,Sun FM,", ,Chimwemwe, ,Sun FM
Chimwemwe,82620244,,,"Chimwemwe, Icengelo,Sun FMFM,","Chimwemwe, Icengelo,Sun FMFM,","Chimwemwe,Icengelo,Sun FM", ,Chimwemwe,Icengelo,Sun FM
Phoenix,82624379,,,"Chimwemwe,Jive,Phoenix,Radio 1,Sun FMFM, Radio Christian Voice","Chimwemwe,Jive,Phoenix,Radio 1,Sun FMFM, Radio Christian Voice","Jive,Phoenix,Radio Christian Voice,Sun FM,","Jive,Radio Christian Voice,Sun FM",Phoenix, , 
Liseli,134575442,,,"Radio 1,Radio 2,Liseli,Lyambai,","Radio 1,Radio 2,Liseli,Lyambai,",,,"Liseli,",,
Radio 4,134595840,,,"BBC,Q FM,Radio 1,Radio 2,Radio 4,Liseli,Luanginga Cheke,Lyambai,","BBC,Q FM,Radio 1,Radio 2,Radio 4,Liseli,Luanginga Cheke,Lyambai,","Q FM,Radio 1,Radio 2,Radio 4,Liseli,Luanginga Cheke,Lyambai,",,"Radio 1,Radio 2,Radio 4,Luanginga Cheke,",",Q FM,Lyambai,","BBC,Liseli,"
Luanginga Cheke,134595840,,,"BBC,Q FM,Radio 1,Radio 2,Radio 4,Liseli,Luanginga Cheke,Lyambai,","BBC,Q FM,Radio 1,Radio 2,Radio 4,Liseli,Luanginga Cheke,Lyambai,","Q FM,Radio 1,Radio 2,Radio 4,Liseli,Luanginga Cheke,Lyambai,",,"Radio 1,Radio 2,Radio 4,Luanginga Cheke,",",Q FM,Lyambai,","BBC,Liseli,"
Radio 2,134595840,,,"BBC,Q FM,Radio 1,Radio 2,Radio 4,Liseli,Luanginga Cheke,Lyambai,","BBC,Q FM,Radio 1,Radio 2,Radio 4,Liseli,Luanginga Cheke,Lyambai,","Q FM,Radio 1,Radio 2,Radio 4,Liseli,Luanginga Cheke,Lyambai,",,"Radio 1,Radio 2,Radio 4,Luanginga Cheke,",",Q FM,Lyambai,","BBC,Liseli,"
Radio 1,134595840,,,"BBC,Q FM,Radio 1,Radio 2,Radio 4,Liseli,Luanginga Cheke,Lyambai,","BBC,Q FM,Radio 1,Radio 2,Radio 4,Liseli,Luanginga Cheke,Lyambai,","Q FM,Radio 1,Radio 2,Radio 4,Liseli,Luanginga Cheke,Lyambai,",,"Radio 1,Radio 2,Radio 4,Luanginga Cheke,",",Q FM,Lyambai,","BBC,Liseli,"
Liseli,134595842,,,"Liseli,Luanginga Cheke,Lyambai","Liseli,Luanginga Cheke,Lyambai","Luanginga Cheke,Lyambai,",",Luanginga Cheke,Lyambai,","Liseli,",,
Lyambai,134640488,,,"Radio 1,Liseli,Lyambai","Radio 1,Liseli,Lyambai","Liseli,Lyambai,",,"Radio 1,Lyambai,","Liseli,",
Radio 1,134640488,,,"Radio 1,Liseli,Lyambai","Radio 1,Liseli,Lyambai","Liseli,Lyambai,",,"Radio 1,Lyambai,","Liseli,",
Luanginga Cheke,134652711,,,"Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,","Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,","Radio 2,Liseli,Luanginga Cheke,Lyambai,",,"Radio 1,Radio 2,Luanginga Cheke,","Liseli,Lyambai,",
Radio 2,134652711,,,"Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,","Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,","Radio 2,Liseli,Luanginga Cheke,Lyambai,",,"Radio 1,Radio 2,Luanginga Cheke,","Liseli,Lyambai,",
Radio 1,134652711,,,"Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,","Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,","Radio 2,Liseli,Luanginga Cheke,Lyambai,",,"Radio 1,Radio 2,Luanginga Cheke,","Liseli,Lyambai,",
Radio 2,134663993,,,"Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,","Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,","Radio 2,Liseli,","Liseli,","Radio 1,Radio 2,",,
Radio 1,134663993,,,"Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,","Radio 1,Radio 2,Liseli,Luanginga Cheke,Lyambai,","Radio 2,Liseli,","Liseli,","Radio 1,Radio 2,",,
Liseli,134667915,,,"Liseli,","Liseli,",,,"Liseli,",,
Liseli,134670215,,,"Liseli,","Liseli,",,,"Liseli,",,
Lyambai,134670301,,,"Radio 1,Radio 2,Luanginga Cheke,Lyambai,","Radio 1,Radio 2,Luanginga Cheke,Lyambai,","Radio 2,Luanginga Cheke,Lyambai",,"Radio 1,Radio 2,Luanginga Cheke,Lyambai,",,
Luanginga Cheke,134670301,,,"Radio 1,Radio 2,Luanginga Cheke,Lyambai,","Radio 1,Radio 2,Luanginga Cheke,Lyambai,","Radio 2,Luanginga Cheke,Lyambai",,"Radio 1,Radio 2,Luanginga Cheke,Lyambai,",,
Radio 2,134670301,,,"Radio 1,Radio 2,Luanginga Cheke,Lyambai,","Radio 1,Radio 2,Luanginga Cheke,Lyambai,","Radio 2,Luanginga Cheke,Lyambai",,"Radio 1,Radio 2,Luanginga Cheke,Lyambai,",,
