,Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Listenership,Radio Listenership - Mobile Phone,Radio Listeners (P7D - Past 7 Days)
756,Radio 2,60595421,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"Komboni Radio,Phoenix FM,QFM,Radio 2"
757,Komboni Radio,60595421,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"Komboni Radio,Phoenix FM,QFM,Radio 2"
758,Radio 1,60595422,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"Komboni Radio,Radio 1"
759,Komboni Radio,60595422,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"Komboni Radio,Radio 1"
760,Radio 1,60595423,Lusaka,Lusaka,Urban,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"Hot FM,Komboni Radio,Radio 1,Radio 2"
761,Radio 2,60595423,Lusaka,Lusaka,Urban,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"Hot FM,Komboni Radio,Radio 1,Radio 2"
762,Hot FM,60595423,Lusaka,Lusaka,Urban,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"Hot FM,Komboni Radio,Radio 1,Radio 2"
763,Komboni Radio,60595423,Lusaka,Lusaka,Urban,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"Hot FM,Komboni Radio,Radio 1,Radio 2"
764,QFM,60595424,Lusaka,Lusaka,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Student,D,"K 1675- K2,499",Yes,35 – 44,Yesterday,Past 4 Weeks,"Hot FM,Komboni Radio,QFM"
765,Hot FM,60595424,Lusaka,Lusaka,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Student,D,"K 1675- K2,499",Yes,35 – 44,Yesterday,Past 4 Weeks,"Hot FM,Komboni Radio,QFM"
766,Komboni Radio,60595424,Lusaka,Lusaka,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Student,D,"K 1675- K2,499",Yes,35 – 44,Yesterday,Past 4 Weeks,"Hot FM,Komboni Radio,QFM"
767,Power FM,60595425,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 1675- K2,499",Yes,25 – 34,Yesterday,Yesterday,"Hot FM,Power FM"
768,Hot FM,60595425,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 1675- K2,499",Yes,25 – 34,Yesterday,Yesterday,"Hot FM,Power FM"
769,KNCRADIO,60595927,Central,Kabwe,Rural,Female,0,None,D,No formal education,Anglican/Protestant,Working Full-Time,D,Under K 849,No,35 – 44,Past 7 Days,Past 7 Days,"KNCRADIO,Radio 1"
770,Radio 1,60595927,Central,Kabwe,Rural,Female,0,None,D,No formal education,Anglican/Protestant,Working Full-Time,D,Under K 849,No,35 – 44,Past 7 Days,Past 7 Days,"KNCRADIO,Radio 1"
771,KNCRADIO,60595928,Central,Kabwe,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,Yesterday,Yesterday,KNCRADIO
772,KNCRADIO,60595929,Central,Kabwe,Urban,Female,0,None,C1,Some primary school,Roman Catholic,Student,C2,"K 4,628   -  K 5,364",No,15 – 18,Past 12 Months,Yesterday,KNCRADIO
773,BBC,60595930,Central,Kabwe,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,Yesterday,Past 7 Days,"KNCRADIO,BBC,Power FM"
774,KNCRADIO,60595930,Central,Kabwe,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,Yesterday,Past 7 Days,"KNCRADIO,BBC,Power FM"
775,Power FM,60595930,Central,Kabwe,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,Yesterday,Past 7 Days,"KNCRADIO,BBC,Power FM"
776,KNCRADIO,60595931,Central,Kabwe,Rural,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,K 850-K 1674,Yes,19 – 24,Past 4 Weeks,Past 4 Weeks,"KNCRADIO,Phoenix FM,Power FM"
777,Phoenix FM,60595931,Central,Kabwe,Rural,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,K 850-K 1674,Yes,19 – 24,Past 4 Weeks,Past 4 Weeks,"KNCRADIO,Phoenix FM,Power FM"
778,Power FM,60595931,Central,Kabwe,Rural,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,K 850-K 1674,Yes,19 – 24,Past 4 Weeks,Past 4 Weeks,"KNCRADIO,Phoenix FM,Power FM"
779,Sky FM,60596170,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Other Christian,Working Part-Time,D,Under K 849,Yes,19 – 24,Past 4 Weeks,Past 12 Months,"Radio Mazabuka,Sky FM"
780,Radio Mazabuka,60596170,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Other Christian,Working Part-Time,D,Under K 849,Yes,19 – 24,Past 4 Weeks,Past 12 Months,"Radio Mazabuka,Sky FM"
781,BBC,60596171,Southern,Mazabuka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,45+,Yesterday,Past 12 Months,"BBC,Radio Mazabuka,Radio 1,Radio 2,"
782,Radio 2,60596171,Southern,Mazabuka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,45+,Yesterday,Past 12 Months,"BBC,Radio Mazabuka,Radio 1,Radio 2,"
783,Radio Mazabuka,60596171,Southern,Mazabuka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,45+,Yesterday,Past 12 Months,"BBC,Radio Mazabuka,Radio 1,Radio 2,"
784,Radio 1,60596171,Southern,Mazabuka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,45+,Yesterday,Past 12 Months,"BBC,Radio Mazabuka,Radio 1,Radio 2,"
785,Sun FM,60596986,Copperbelt,Kitwe,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,Yesterday,Past 7 Days,"Radio 1,Sun FM"
786,Radio 1,60596986,Copperbelt,Kitwe,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,Yesterday,Past 7 Days,"Radio 1,Sun FM"
787,Radio 1,60597711,Muchinga,Nakonde,Urban,Male,3,None,C2,Some high school,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,45+,Yesterday,Past 7 Days,"Radio 1,Radio 1"
788,Sat,60597809,Copperbelt,Chilililabombwe,Urban,Female,2,Two or More,AB,University completed,Other Christian,Housewife,AB,"K 14,632 -  K 17,499",Yes,35 – 44,Yesterday,Past 7 Days,Sat
789,BBC,60598338,Copperbelt,Kalulushi,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 6,103   -  K 7,892",Yes,25 – 34,Yesterday,Yesterday,BBC
790,FLAVA FM,60598428,Copperbelt,Kitwe,Urban,Female,1,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 14,632 -  K 17,499",Yes,19 – 24,Yesterday,Never,FLAVA FM
791,Feel Free,60598577,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Yesterday,Never,"Feel Free,Radio Maria,Radio 1"
792,Radio Maria,60598577,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Yesterday,Never,"Feel Free,Radio Maria,Radio 1"
793,Radio 1,60598577,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Yesterday,Never,"Feel Free,Radio Maria,Radio 1"
794,Radio 1,60598761,Copperbelt,Mufulira,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Student,Do not know,No Income,Yes,15 – 18,Past 4 Weeks,Past 7 Days,Radio 1
795,Sat,60598987,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,No Income,No Income,Yes,45+,Yesterday,Never,Sat
796,Isoka,60599173,Muchinga,Nakonde,Urban,Female,2,None,C2,Primary school completed,Others,Housewife,Do not know,"K 3,155   -  K 3,890",Yes,19 – 24,Yesterday,Never,"Isoka,Radio 1,Radio 2,"
797,Radio 2,60599173,Muchinga,Nakonde,Urban,Female,2,None,C2,Primary school completed,Others,Housewife,Do not know,"K 3,155   -  K 3,890",Yes,19 – 24,Yesterday,Never,"Isoka,Radio 1,Radio 2,"
798,Radio 1,60599173,Muchinga,Nakonde,Urban,Female,2,None,C2,Primary school completed,Others,Housewife,Do not know,"K 3,155   -  K 3,890",Yes,19 – 24,Yesterday,Never,"Isoka,Radio 1,Radio 2,"
799,Radio Mazabuka,60599271,Southern,Mazabuka,Urban,Male,1,None,C1,Some high school,Refused (DON’T READ),Working Full-Time,D,K 850-K 1674,Yes,25 – 34,Past 12 Months,Past 12 Months,Radio Mazabuka
800,Sky FM,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,Yesterday,Yesterday,"Radio Mazabuka,Sky FM"
801,Radio Mazabuka,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,Yesterday,Yesterday,"Radio Mazabuka,Sky FM"
802,YAR FM,60599944,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Others,Student,C2,Under K 849,Yes,19 – 24,Yesterday,Yesterday,"Radio Icengelo,YAR FM"
803,Radio Icengelo,60599944,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Others,Student,C2,Under K 849,Yes,19 – 24,Yesterday,Yesterday,"Radio Icengelo,YAR FM"
804,Roots,60600028,Lusaka,Lusaka,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Part-Time,D,K 850-K 1674,Yes,45+,Past 7 Days,Never,Roots
805,Radio 1,60600214,Copperbelt,Kalulushi,Urban,Female,0,None,C2,Don’t know (DON’T READ),Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,Past 12 Months,Never,Radio 1
806,Radio 1,60600380,Copperbelt,Mufulira,Urban,Female,2,None,C1,Don’t know (DON’T READ),Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,15 – 18,Yesterday,Never,Radio 1 
807,Radio Breeze FM,60600483,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,Yesterday,Never,"Radio Breeze FM,Radio 1"
808,Radio 1,60600483,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,Yesterday,Never,"Radio Breeze FM,Radio 1"
809,Sun FM,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,Past 7 Days,Yesterday,"Chimwemwe,Phoenix FM,Sun FM"
810,Chimwemwe,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,Past 7 Days,Yesterday,"Chimwemwe,Phoenix FM,Sun FM"
811,Phoenix FM,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,Past 7 Days,Yesterday,"Chimwemwe,Phoenix FM,Sun FM"
812,Kokoliko,60600703,Copperbelt,Chilililabombwe,Urban,Female,2,One,C1,Completed high School,Other Christian,Refused/ don’t know (DON’T READ),Do not know,No Income,Yes,45+,Yesterday,Never,"Radio Icengelo,Kokoliko"
813,Radio Icengelo,60600703,Copperbelt,Chilililabombwe,Urban,Female,2,One,C1,Completed high School,Other Christian,Refused/ don’t know (DON’T READ),Do not know,No Income,Yes,45+,Yesterday,Never,"Radio Icengelo,Kokoliko"
814,YAR FM,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,Past 7 Days,Past 7 Days,YAR FM
815,Radio Icengelo,60600992,Copperbelt,Kitwe,Urban,Female,1,None,C2,Primary school completed,Roman Catholic,Student,D,Under K 849,Yes,19 – 24,Past 7 Days,Yesterday,Radio Icengelo
816,Radio Christian Voice,60601247,Copperbelt,Kitwe,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],D,K 850-K 1674,Yes,19 – 24,Never,Yesterday,Radio Christian Voice
817,Radio Mano,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,Past 7 Days,Past 12 Months,Radio Mano
818,Parliament,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,Past 7 Days,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano,Parliament,Radio 1"
819,Radio 1,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,Past 7 Days,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano,Parliament,Radio 1"
820,Radio Mano,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,Past 7 Days,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano,Parliament,Radio 1"
821,Lutanda,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,Past 7 Days,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano,Parliament,Radio 1"
822,Kwithu FM,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,Past 7 Days,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano,Parliament,Radio 1"
823,Lutanda,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,Yesterday,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano"
824,Kwithu FM,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,Yesterday,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano"
825,Radio Mano,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,Yesterday,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano"
826,Radio Icengelo,60601635,Copperbelt,Mufulira,Urban,Female,1,One,C2,Don’t know (DON’T READ),Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,No Income,No,15 – 18,Yesterday,Never,Radio Icengelo
827,Kokoliko,60601686,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Other Christian,Housewife,D,Under K 849,Yes,25 – 34,Past 7 Days,Never,Kokoliko
828,Kokoliko,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,Yesterday,Yesterday,"Kokoliko,Rise FM"
829,Rise FM,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,Yesterday,Yesterday,"Kokoliko,Rise FM"
830,Sat,60601857,Copperbelt,Kitwe,Urban,Male,1,None,AB,Some university,Roman Catholic,Student,C1,"K 11,262  -  K 14,631",Yes,19 – 24,Past 4 Weeks,Past 4 Weeks,Sat
831,Radio 4,60602111,Copperbelt,Kalulushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Never,"Chimwemwe,FLAVA FM,Radio Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,YAR FM"
832,Radio 2,60602111,Copperbelt,Kalulushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Never,"Chimwemwe,FLAVA FM,Radio Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,YAR FM"
833,Radio 1,60602111,Copperbelt,Kalulushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Never,"Chimwemwe,FLAVA FM,Radio Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,YAR FM"
834,Radio Christian Voice,60602111,Copperbelt,Kalulushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Never,"Chimwemwe,FLAVA FM,Radio Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,YAR FM"
835,YAR FM,60602111,Copperbelt,Kalulushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Never,"Chimwemwe,FLAVA FM,Radio Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,YAR FM"
836,FLAVA FM,60602111,Copperbelt,Kalulushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Never,"Chimwemwe,FLAVA FM,Radio Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,YAR FM"
837,Chimwemwe,60602111,Copperbelt,Kalulushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Never,"Chimwemwe,FLAVA FM,Radio Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,YAR FM"
838,Radio Icengelo,60602111,Copperbelt,Kalulushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Never,"Chimwemwe,FLAVA FM,Radio Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,YAR FM"
839,Radio 1,60602198,Muchinga,Nakonde,Urban,Male,3,Two or More,C1,Completed high School,Anglican/Protestant,Retired - voluntary scholarspensioners,D,Under K 849,Yes,45+,Yesterday,Yesterday,Radio 1
840,Nakonde,60602199,Muchinga,Nakonde,Urban,Female,0,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,Yesterday,Yesterday,"Nakonde,Radio 1"
841,Radio 1,60602199,Muchinga,Nakonde,Urban,Female,0,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,Yesterday,Yesterday,"Nakonde,Radio 1"
842,Radio Icengelo,60602219,Copperbelt,Kitwe,Urban,Male,3,None,C1,Some high school,Roman Catholic,Student,D,Under K 849,Yes,19 – 24,Yesterday,Yesterday,Radio Icengelo
843,Kokoliko,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,Past 7 Days,Never,"Kokoliko,Rise FM"
844,Rise FM,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,Past 7 Days,Never,"Kokoliko,Rise FM"
845,Chimwemwe,60602799,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Orthodox,Working Full-Time,D,"K 4,628   -  K 5,364",Yes,25 – 34,Yesterday,Past 7 Days,Chimwemwe
846,Radio Icengelo,60602800,Copperbelt,Kitwe,Urban,Female,2,One,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,35 – 44,Past 7 Days,Never,Radio Icengelo
847,Radio Icengelo,60602801,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some high school,Seventh Day Adventists,Self employed,C2,"K 4,628   -  K 5,364",Yes,19 – 24,Past 7 Days,Past 4 Weeks,Radio Icengelo
848,YAR FM,60602802,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Orthodox,Working Full-Time,D,"K 7,893 -  K 11,261",Yes,25 – 34,Yesterday,Past 12 Months,"Radio Icengelo,Phoenix FM,YAR FM"
849,Phoenix FM,60602802,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Orthodox,Working Full-Time,D,"K 7,893 -  K 11,261",Yes,25 – 34,Yesterday,Past 12 Months,"Radio Icengelo,Phoenix FM,YAR FM"
850,Radio Icengelo,60602802,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Orthodox,Working Full-Time,D,"K 7,893 -  K 11,261",Yes,25 – 34,Yesterday,Past 12 Months,"Radio Icengelo,Phoenix FM,YAR FM"
851,Radio Christian Voice,60602804,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Seventh Day Adventists,Working Full-Time,D,"K 6,103   -  K 7,892",Yes,25 – 34,Past 12 Months,Never,Radio Christian Voice
852,Radio 2,60602805,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 14,632 -  K 17,499",Yes,25 – 34,Yesterday,Yesterday,"Radio Icengelo,Radio 2"
853,Radio Icengelo,60602805,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 14,632 -  K 17,499",Yes,25 – 34,Yesterday,Yesterday,"Radio Icengelo,Radio 2"
854,Sat,60603035,Copperbelt,Chilililabombwe,Urban,Female,1,One,C1,Completed high School,Roman Catholic,Housewife,Do not know,Do not know,Yes,19 – 24,Past 7 Days,Never,Sat
855,Radio Icengelo,60603366,Copperbelt,Kalulushi,Urban,Female,2,One,C1,Completed high School,Other Christian,Self employed,D,"K 4,628   -  K 5,364",Yes,19 – 24,Never,Never,Radio Icengelo
856,Sun FM,60603515,Copperbelt,Ndola,Urban,Female,2,None,C1,University completed,Other Christian,Housewife,C2,"K 3,155   -  K 3,890",Yes,35 – 44,Yesterday,Yesterday,Sun FM
857,Sun FM,60603893,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Some university,Other Christian,Working Full-Time,No Income,No Income,Yes,45+,Yesterday,Never,Sun FM
