SbjNum,Where Radio was Accessed P7D,Usuall Access to Radio,6 am to 9 am,9 am to 12 pm,12 pm to 3 pm,3 pm to 6 pm,6 pm to 9 pm,9 pm to 1 am,1 am to 6 am,Favourite Radio Station,Reasons for Favourite Radio Station,Preferred Day of the Week for Favourite Station,Type of Radio Programmes Liked,Other Types of Radio Programmes Liked,Preferred time for Music on radio,Other Preferred time for Music on radio,Stations Availability in your Area
60554971,At home,On a radio,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Icengelo,it's language wise they use the language  which everyone  can understand  I also like music,Tuesday,"Radio drama,Children's programs,", ,Lunch time, ,"Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Rise FM"
60555110,Other (specify),Other (specify),Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Radio 1,was just listening to it while having lunch,Thursday,"Other (specify),",none,Other (specify),none,don’t know
60555311,At homeIn a market plac,On a radio,2 days per week,7 days per week,2 days per week,2 days per week,2 days per week,2 days per week,2 days per week,Icengelo,it's a trust worthy station,Sunday,"News/current affairs,", ,Lunch time, ,"Icengelo,Radio 1,Radio 2,Radio Christian Voice"
60555743,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Icengelo,nice programs,Wednesday,"Religious,", ,Late evening, ,Icengelo
60555767,At home,On a radioPay TV eg. DSTV,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,ZNBC 1,news,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Social/community programs e.g. people with special needs,News/current affairs,", ,Early afternoon, ,"Baptist Faith,Chimwemwe,Icengelo,Radio 1,Radio 2,ZNBC 1"
60555768,At home,On a radio,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Icengelo,gospel,Monday,"Religious,", ,Early morning, ,"Chimwemwe,Flava FM,Icengelo,Phoenix,Radio 1,Radio 2"
60555769,At home,On a radio,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Icengelo,good programmes,"Tuesday,Thursday","Social/community programs e.g. people with special needs,", ,Early morning, ,"Baptist Faith,Chimwemwe,Icengelo,Radio 1,Radio 2"
60555770,At home,On a radio,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Yar,music,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Other (specify),",music,Early morning, ,"Icengelo,Radio 1,Radio 2,Yar"
60556109,At homeOther (specify),On a mobile phone,3 days per week,7 days per week,4 days per week,4 days per week,4 days per week,4 days per week,Do not listen at this time,BBC,the provide international news,Friday,"News/current affairs,", ,Early afternoon, ,"BBC,Icengelo,Jive,Radio Christian Voice"
60556261,At homePrivate taxiBus,On a radio,1 day per week,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Icengelo,I love the religious  programs like listening to the word of God,Saturday,"Religious,", ,Early evening, ,"Icengelo,Kokoliko"
60556427,At work (office field etc),On a radio,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Radio Chrsitian Voice,Because I am a Christian,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Agricultural issues,Religious,Music shows,", ,Early morning, ,Radio 1
60556428,At home,On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,3 days per week,Do not listen at this time,Do not listen at this time,Radio 1,That's station where they bring nenseable,"Wednesday,Friday","Radio drama,", ,Early evening, ,None
60556558,,,,,,,,,,,,,",", ,, ,
60558612,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Icengelo,worshiping songs and news are brought,Wednesday,"Environmental issues,Music shows,", ,Late evening, ,Icengelo
60558636,At homeAnother household (friends relatives house)In a barIn a restaurantIn a market placBus,On a radio,6 days per week,Do not listen at this time,4 days per week,Do not listen at this time,7 days per week,7 days per week,Do not listen at this time,Komboni,it the leading entertainment station in terms of local music,Thursday,"Radio drama,Politics,Music shows,", ,Early afternoon, ,"5FM,Ama,BBC,Chongwe,Christian Voice,Evelyn,Hot,Joy,Kafue,Komboni,Metro,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise,United Voice,Unza"
60558637,At homeAnother household (friends relatives house)At work (office field etc)In a restaurantIn a market placBus,On a radioOn a mobile phone,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Do not listen at this time,Do not listen at this time,Radio 1,it brings local stories,Wednesday,"Health issues e.g. HIV / AIDS,Social/community programs e.g. people with special needs,Radio drama,Politics,", ,Late afternoon, ,"Chongwe,Christian Voice,Comet 10,Evelyn,Hot,Joy,Komboni,Metro,Millennium,Modern voice,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,United Voice,Unza,Yatsani,ZNBC 1,ZNBC 2"
60558638,At homeAnother household (friends relatives house)At work (office field etc)In a restaurantIn a market placBus,On a radioOn a mobile phone,6 days per week,6 days per week,6 days per week,6 days per week,7 days per week,7 days per week,Less than that,Komboni,it a station for local people that allows us to understand the music in our language,"Thursday,Friday","Radio drama,Developmental issues e.g. building of roads,Social/community programs e.g. people with special needs,Gender issues,Music shows,Politics,Religious,Health issues e.g. HIV / AIDS,Sports Commentaries,News/current affairs,", ,Late afternoon, ,"5FM,Ama,Christian Voice,Evelyn,Hot,Joy,Komboni,Millennium,Modern voice,Pan African,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,ZNBC 1"
60558639,At home,On a radio,7 days per week,Do not listen at this time,7 days per week,Less than that,3 days per week,3 days per week,Do not listen at this time,Radio 1,it has been frequency,Wednesday,"News/current affairs,Social/community programs e.g. people with special needs,Other (specify),Music shows,Radio drama,Religious,Health issues e.g. HIV / AIDS,Politics,",local stories,Early evening, ,"5FM,Ama,Chongwe,Christian Voice,Comet 10,Evelyn,Hot,Joy,Kafue,Komboni,Metro,Millennium,Modern voice,One Love,Pan African,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,United Voice,Unza,Yatsani,ZNBC 1,ZNBC 2"
60558640,At homeIn a market plac,On a radioOn a mobile phone,6 days per week,6 days per week,7 days per week,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Komboni,it brings the local music I prefer,Thursday,"Music shows,", ,Early afternoon, ,"5FM,Ama,Chongwe,Christian Voice,Evelyn,Hot,Joy,Kafue,Komboni,Metro,Millennium,Pan African,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Rise,Rock FM,United Voice,Unza,ZNBC 1,ZNBC 2"
60558982,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Sun,because it brings the programmes the I love,Tuesday,"Radio drama,", ,Early evening, ,Sun
60558985,At home,On a radio,7 days per week,Do not listen at this time,Less than that,7 days per week,Less than that,Do not listen at this time,Do not listen at this time,Radio 4,the dj's plays entertaining music,Wednesday,"Music shows,", ,Early morning, ,"Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4"
60559081,At homeIn a market placBus,On a radioOn a mobile phone,3 days per week,2 days per week,3 days per week,1 day per week,3 days per week,Do not listen at this time,Do not listen at this time,Kokoliko,they are a lot of nice programs  which are educative and religious,Friday,"Religious,Environmental issues,", ,Early afternoon, ,"Icengelo,Iwave,Kokoliko"
60559082,At home,On a radio,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Kokoliko,they have allot of educative  issues,"Monday,Friday","Music shows,Religious,Gender issues,", ,Late evening, ,"Icengelo,Kokoliko,Radio 1,Radio 2"
60559105,At home,On a radioOn a mobile phone,6 days per week,4 days per week,2 days per week,1 day per week,3 days per week,Less than that,Do not listen at this time,Mazabuka,they bring community issues,"Monday,Tuesday,Wednesday,Friday,Sunday","Politics,Social/community programs e.g. people with special needs,News/current affairs,Health issues e.g. HIV / AIDS,Developmental issues e.g. building of roads,Religious,", ,Early morning, ,"Mazabuka,Radio 1,Radio 2,ZNBC 1,ZNBC 2"
60559106,At homeAt work (office field etc),On a radioOn a mobile phone,6 days per week,2 days per week,2 days per week,3 days per week,3 days per week,Do not listen at this time,Do not listen at this time,Mazabuka,it's the only radio station my phone catches signal,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Radio drama,Social/community programs e.g. people with special needs,News/current affairs,", ,Early morning, ,"Mazabuka,Radio 1,Radio 2"
60559161,In a car-private,On a radio,2 days per week,5 days per week,4 days per week,2 days per week,4 days per week,2 days per week,Less than that,Sun,good programmes,Monday,"Social/community programs e.g. people with special needs,", ,Early morning, ,Sun
60559162,At homeBus,On a mobile phone,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Jive,good program,Monday,"Radio drama,Music shows,", ,Lunch time, ,"Chimwemwe,Jive,Sun"
60559165,At home,Free to Air (satellite)On a mobile phone,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,3 days per week,1 day per week,BBC,good programmes,Monday,"News/current affairs,Religious,Music shows,Radio drama,", ,Early afternoon, ,"BBC,Chimwemwe,Icengelo,Parliament,Sun,ZNBC 1,ZNBC 2,ZNBC 4"
60559241,In a car-privatePrivate taxi,On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Less than that,Phoenix,there's good music,Sunday,"Other (specify),",simultaneous. just listen to what's currently on the radio channel,Late morning, ,"Icengelo,QFM,Radio 2"
60559883,At homeAt work (office field etc),On a radioOn a mobile phone,5 days per week,Do not listen at this time,5 days per week,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,Radio 2,It's brings local programs I like what the government what's going to do,"Monday,Tuesday,Wednesday,Thursday,Friday","News/current affairs,Radio drama,", ,Other (specify),I don't listen music on radio,"Isoka,Radio 1,Radio 2"
60559884,At home,On a mobile phone,Do not listen at this time,Do not listen at this time,7 days per week,7 days per week,7 days per week,Do not listen at this time,Do not listen at this time,Radio 2,The language which I can understand,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Developmental issues e.g. building of roads,Politics,News/current affairs,", ,Early evening, ,"Radio 1,Radio 2"
60560017,At home,On a radio,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Radio 1,storys,Monday,"Radio drama,", ,Early afternoon, ,"Chimwemwe,Icengelo,Radio 1,Radio 2,Radio Christian Voice"
60560018,At home,On a radio,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Yar,music,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Music shows,", ,Early morning, ,"Icengelo,Radio 1,Radio Christian Voice,Yar"
60560019,At home,On a radio,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Icengelo,by mistake,Monday,"Music shows,", ,Late morning, ,"Baptist Faith,Icengelo,Phoenix,Radio 1"
60560263,At home,On a radio,2 days per week,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Chimwemwe,more religious programs,Thursday,"Religious,", ,Early morning, ,"Chimwemwe,{0}"
60560264,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,{0},good music,"Saturday,Sunday","News/current affairs,Music shows,Social/community programs e.g. people with special needs,Sports Commentaries,", ,Late evening, ,"Sun,{0}"
60560265,At homeIn a car-private,On a radioOn a mobile phone,2 days per week,2 days per week,7 days per week,Less than that,Less than that,Less than that,Less than that,BBC,i get the world news,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Music shows,Developmental issues e.g. building of roads,Social/community programs e.g. people with special needs,Sports Commentaries,Health issues e.g. HIV / AIDS,Agricultural issues,Religious,Politics,Radio drama,Environmental issues,News/current affairs,Gender issues,", ,Late evening, ,{0}
